"Entity","Code","Day","retail_and_recreation","grocery_and_pharmacy","residential","transit_stations","parks","workplaces"
"United States","USA","2020-02-17",6.333,1,1,-1.333,19.667,-7.333
"United States","USA","2020-02-18",4.75,0.5,1,-0.75,16.25,-5.5
"United States","USA","2020-02-19",4.2,0.4,0.8,-0.4,14.6,-4.2
"United States","USA","2020-02-20",3.667,0.333,0.833,-0.333,12.833,-3.5
"United States","USA","2020-02-21",3.429,0,0.714,-0.143,11.571,-3
"United States","USA","2020-02-22",3.571,0.143,0.714,0.143,12.714,-2.714
"United States","USA","2020-02-23",3.571,0.429,0.714,0.571,13.714,-2.429
"United States","USA","2020-02-24",3,0.571,0,2,11,1.429
"United States","USA","2020-02-25",3.571,0.857,-0.143,2.143,11.429,1.714
"United States","USA","2020-02-26",4.286,1.143,-0.286,2.429,11,1.857
"United States","USA","2020-02-27",5.286,1.571,-0.429,3,12.143,2.143
"United States","USA","2020-02-28",6.143,2.286,-0.571,3.571,13,2.429
"United States","USA","2020-02-29",6.857,2.857,-0.714,3.857,12.714,2.429
"United States","USA","2020-03-01",7.714,3.714,-0.714,4.143,12,2.571
"United States","USA","2020-03-02",8.429,4.429,-0.857,4.286,12.143,2.571
"United States","USA","2020-03-03",9.429,5.714,-1,4.429,13.714,2.571
"United States","USA","2020-03-04",9.571,6.286,-1,4.286,15.429,2.714
"United States","USA","2020-03-05",9.571,6.857,-1.143,4,16.714,2.857
"United States","USA","2020-03-06",9.143,6.857,-1.143,3.571,17,2.857
"United States","USA","2020-03-07",8.857,7,-1,3.571,18.143,3
"United States","USA","2020-03-08",8.429,6.714,-1,3.286,21.286,2.857
"United States","USA","2020-03-09",8.286,6.714,-0.857,2.857,24.286,2.429
"United States","USA","2020-03-10",7.571,6.286,-0.571,2,24,1.857
"United States","USA","2020-03-11",7.571,6.857,-0.429,1.429,25.286,1.286
"United States","USA","2020-03-12",7.286,9.143,-0.143,0.286,25,0.429
"United States","USA","2020-03-13",6.857,12.429,0.429,-1.429,23.857,-0.857
"United States","USA","2020-03-14",4.571,13.857,1,-3.857,20.143,-1.714
"United States","USA","2020-03-15",1.857,14.571,1.571,-6.429,15.143,-3
"United States","USA","2020-03-16",-0.143,16.714,2.714,-9.429,10.571,-5.857
"United States","USA","2020-03-17",-3.571,17.714,4.143,-12.714,9.143,-9.429
"United States","USA","2020-03-18",-8.143,17.429,6,-16.714,6.286,-13.714
"United States","USA","2020-03-19",-13,15.143,8,-21,3.857,-18
"United States","USA","2020-03-20",-17.857,12.143,9.857,-24.857,3,-22.143
"United States","USA","2020-03-21",-22.714,9.286,11.143,-28.571,2.143,-25.429
"United States","USA","2020-03-22",-27.714,5.714,12.286,-33,-0.286,-28.857
"United States","USA","2020-03-23",-32,1.286,13.571,-36.571,-3.429,-31.857
"United States","USA","2020-03-24",-35,-2.429,14.714,-39.429,-6,-34.429
"United States","USA","2020-03-25",-37.286,-5.714,15.571,-41.857,-7.857,-36.571
"United States","USA","2020-03-26",-39,-8.714,16.286,-43.571,-7.714,-38.571
"United States","USA","2020-03-27",-40.429,-11.714,17,-45.286,-8.429,-40
"United States","USA","2020-03-28",-41.571,-14.143,17.429,-47.143,-11.571,-41.429
"United States","USA","2020-03-29",-42,-15.429,17.571,-48.143,-12.571,-42.429
"United States","USA","2020-03-30",-42.286,-16.571,17.857,-48.571,-11.429,-43.429
"United States","USA","2020-03-31",-42.429,-17.143,18,-49,-12.286,-44
"United States","USA","2020-04-01",-42,-16.571,18.143,-49.143,-12.286,-44.429
"United States","USA","2020-04-02",-42,-16.143,18.286,-49.571,-14,-44.857
"United States","USA","2020-04-03",-42,-15.571,18.429,-49.857,-16,-45.429
"United States","USA","2020-04-04",-42,-15,18.429,-50,-15.857,-45.857
"United States","USA","2020-04-05",-42.286,-14.714,18.571,-50.429,-16,-46.143
"United States","USA","2020-04-06",-42.571,-14.429,18.714,-50.714,-15.286,-46.429
"United States","USA","2020-04-07",-42.857,-14.143,18.857,-51,-13.286,-46.714
"United States","USA","2020-04-08",-43.571,-14.714,19,-51.429,-13.143,-47
"United States","USA","2020-04-09",-44,-15,19.143,-51.857,-14.857,-47.286
"United States","USA","2020-04-10",-44.143,-15.143,19.429,-52.286,-14.857,-48.143
"United States","USA","2020-04-11",-43.714,-14,19.286,-52.143,-13.714,-48.286
"United States","USA","2020-04-12",-45.714,-16.714,19.286,-52.429,-16,-49
"United States","USA","2020-04-13",-46.143,-17.571,19.429,-52.857,-19,-49.143
"United States","USA","2020-04-14",-45.857,-17.857,19.286,-52.714,-20.857,-49
"United States","USA","2020-04-15",-45,-17.571,19.143,-52.429,-22.286,-48.714
"United States","USA","2020-04-16",-44.429,-17.571,19,-51.857,-21.286,-48.286
"United States","USA","2020-04-17",-44.286,-18.143,18.714,-51.429,-21.429,-47.143
"United States","USA","2020-04-18",-44.286,-19.286,18.714,-51.143,-22,-46.429
"United States","USA","2020-04-19",-41.714,-16.429,18.429,-50.286,-18.286,-45.286
"United States","USA","2020-04-20",-40.857,-15.571,18.143,-49.429,-14.857,-44.857
"United States","USA","2020-04-21",-40.571,-15.286,18.143,-49.286,-13.857,-44.714
"United States","USA","2020-04-22",-40.857,-15.429,18.143,-49.143,-12.857,-44.714
"United States","USA","2020-04-23",-41,-15.571,18.143,-49.143,-12.857,-44.714
"United States","USA","2020-04-24",-40.714,-15.429,18,-49,-11.714,-44.714
"United States","USA","2020-04-25",-40.143,-14.857,17.714,-48.286,-8.571,-44.571
"United States","USA","2020-04-26",-39.714,-14.429,17.714,-48,-8.714,-44.429
"United States","USA","2020-04-27",-39.143,-14,17.571,-47.857,-8.286,-44.143
"United States","USA","2020-04-28",-38.571,-13.429,16.429,-47.286,-6.286,-44
"United States","USA","2020-04-29",-38,-13,16.286,-47,-6,-43.714
"United States","USA","2020-04-30",-37.143,-12.286,16,-46.571,-5,-43.429
"United States","USA","2020-05-01",-36,-11,15.571,-45.571,-2,-43
"United States","USA","2020-05-02",-35,-10,15.286,-44.571,1.714,-42.571
"United States","USA","2020-05-03",-33.857,-8.857,14.857,-43.429,6.429,-41.857
"United States","USA","2020-05-04",-33,-8,14.571,-42.857,7.714,-41.571
"United States","USA","2020-05-05",-32.143,-7,15.286,-42.571,7.571,-41.143
